Signature,Alternative signatures,Transliterated runic text,Translation to English,Found location,Parish,Municipality,District,Current location,Images,latitude,longitude
"Öl 1","DR 411;B 1071;L 1323","§A + s-a... --(s)- i(a)s · satr · aiftir · si(b)(a) · kuþa · sun · fultars · in hons ·· liþi · sati · at · u · -ausa-þ-... +: fulkin : likr : hins : fulkþu : flaistr (:)· uisi · þat · maistar · taiþir : tulka · þruþar : traukr : i : þaimsi · huki · munat : raiþ:uiþur : raþa : ruk:starkr · i · tanmarku : --ntils : iarmun··kruntar : urkrontari : lonti §B {÷ IN| |NONIN- ¶ + HE... ...}","§A This stone is set up in memory of Sibbi Góði/Goði, son of Foldarr, and his retinue set on ... Hidden lies the one whom followed (most know that) the greatest deeds, Þrud's warrior of battles, in this mound. Never will a more honest, hard-fighting 'wagon-Viðurr' upon Endill's expanses rule the land in Denmark. [This stone is placed in memory of Sibbi the good, Fuldarr's son, and his retinue placed on ... ... He lies concealed, he who was followed by the greatest deeds (most men knew that), a chieftain (battle-tree of [the Goddess] Þrúðr) in this howe; Never again shall such a battle-hardened sea-warrior (Viðurr-of-the-Carriage of [the Sea-king] Endill's mighty dominion ( = God of the vessels of the the sea) ), rule unsurpassed over land in Denmark.] §B {In the name of Jesus(?) ...}","Karlevi","Vickleby sn","Mörbylånga","Algutsrums hd","","http://kulturarvsdata.se/raa/kmb/html/16000300029918;http://kulturarvsdata.se/raa/kmb/html/16001000034224;http://kulturarvsdata.se/raa/kmb/html/16000300013979;http://kulturarvsdata.se/raa/kmb/html/16000300013991;http://kulturarvsdata.se/raa/kmb/html/16000300013981;http://kulturarvsdata.se/raa/kmb/html/16000300013980;http://kulturarvsdata.se/raa/kmb/html/16000300013978;http://kulturarvsdata.se/raa/kmb/html/16000300013987;http://kulturarvsdata.se/raa/kmb/html/16000300013986;http://kulturarvsdata.se/raa/kmb/html/16000300013976;http://kulturarvsdata.se/raa/kmb/html/16000300013997;http://kulturarvsdata.se/raa/kmb/html/16000300013994;http://kulturarvsdata.se/raa/kmb/html/16000300013995;http://kulturarvsdata.se/raa/kmb/html/16000300013977;http://kulturarvsdata.se/raa/kmb/html/16000300013989;http://kulturarvsdata.se/raa/kmb/html/16000300013990;http://kulturarvsdata.se/raa/kmb/html/16000300013998;http://kulturarvsdata.se/raa/kmb/html/16000300013992;http://kulturarvsdata.se/raa/kmb/html/16000300013996;http://kulturarvsdata.se/raa/kmb/html/16000300013988;http://kulturarvsdata.se/raa/kmb/html/16000300013983;http://kulturarvsdata.se/raa/kmb/html/16000300013982;http://kulturarvsdata.se/raa/kmb/html/16000300013985;http://kulturarvsdata.se/raa/kmb/html/16000300013984;http://kulturarvsdata.se/raa/kmb/html/16000300027410","56.607512","16.439838"
"Öl 2","B 1076;L 1324","[tot-- × þ-(a)- (k)--(k)aR · ---- · ...--- -tain · iftiR · sabiara · bruþur · sin · kuþ · hialbi salu hans ·]","Dóttir(?), Þegn(?), ...-geirr(?) [had the] stone [erected] in memory of Sæbjôrn, their brother. May God help his soul.","Algutsrums kyrka","Algutsrums sn","Mörbylånga","Algutsrums hd","","","56.678834","16.527814"
"Öl 3","L 1588;L 1589","[...iR · bryþr · litu · r-isa ... ...ftiR ...-----s--unilu...]","These brothers had the [stones] raised in memory of their(?) ...","Resmo kyrka","Resmo sn","Mörbylånga","Algutsrums hd","","","56.54135","16.443755"
"Öl 4","","...-abi · þaiR --tu · raisa · stein- · eftiR · rantui · moþor sina","<...-abi> they had the stones raised in memory of Randvé, their mother.","Resmo kyrka","Resmo sn","Mörbylånga","Algutsrums hd","Kalmar läns museum (KLM 24962)","","56.54135","16.443755"
"Öl 5","L 1320","[alti × auk × keti... ... stein × eftiR × kata × faþur × sin]","Aldi and Ketill, (they had) the stone (raised) in memory of Káti, their father.","Bårby","Mörbylånga sn","Mörbylånga","Algutsrums hd","","","56.502012","16.426369"
"Öl 6","B 1074;L 1569","[...ofi : lit : kiarua : kuml :] þisa : eftiR : [lofu : kunu : sina :] ...","Bófi(?)/Tófi(?) had these monuments made in memory of Tófa, his wife. ...","Mörbylånga kyrkogård","Mörbylånga sn","Mörbylånga","Algutsrums hd","","","56.519571","16.398387"
"Öl 7","B 1072;L 1319","[------ li- : risa : sten : iftiR : þur... ... ...in : kuþ : hia-bi : sal : hans ·]","... had the stone raised in memory of Þor-... his ... May God help his soul.","Mörbylånga kyrka","Mörbylånga sn","Mörbylånga","Algutsrums hd","","","56.519571","16.398387"
"Öl 8","B 1073;L 2057","§P [u-ar stin unu enruk korþi^ ^m^ik] §Q [...(r)^ii^ ^m^iar stin unu enruk korþi^ ^m^ik]","§P ... Un(n)u's stone(?). ... made me. §Q Three(?) maidens(?) produced the stone. Henrik(?) made me.","Mörbylånga kyrkogård","Mörbylånga sn","Mörbylånga","Algutsrums hd","","","56.519571","16.398387"
"Öl 9","B 1063;L 1318","[askutr : raisti : stain : þina : iftR : suin : faþur : sina : kuþ : ialbi : ant : hans : a^uk : kus muþiR]","Ásgautr raised the stone in memory of Sveinn, his father. May God and God's mother help his spirit.","Kastlösa kyrka","Kastlösa sn","Mörbylånga","Gräsgårds hd","","","56.458532","16.429067"
"Öl 10","B 1064;L 1317","[: eimunr : auk : kuna- ... þeiR · -uku · kirþu · þisn · eftiR : kinu : fatran]","Eimundr and Gunnarr ..., they made the monuments in memory of Gína(?) the sage.","Alvlösa","Smedby sn","Mörbylånga","Gräsgårds hd","","","56.422034","16.436006"
